48.87736, 02.27966, 
48.87736, 02.27966, 
48.87721, 02.27951, 
48.87720, 02.27953, 
48.87715, 02.27967, 
48.87712, 02.27975, 
48.87711, 02.27979, 
48.87711, 02.27985, 
48.87710, 02.27991, 
48.87710, 02.27997, 
48.87710, 02.28002, 
48.87710, 02.28006, 
48.87710, 02.28010, 
48.87711, 02.28017, 
48.87713, 02.28023, 
48.87705, 02.28027, 
48.87699, 02.28030, 
48.87697, 02.28031, 
48.87697, 02.28055, 
48.87698, 02.28072, 
48.87698, 02.28089, 
48.87699, 02.28103, 
48.87700, 02.28121, 
48.87703, 02.28145, 
48.87703, 02.28149, 
48.87696, 02.28164, 
48.87692, 02.28172, 
48.87688, 02.28188, 
48.87687, 02.28199, 
48.87683, 02.28226, 
48.87682, 02.28242, 
48.87680, 02.28249, 
48.87677, 02.28251, 
48.87674, 02.28252, 
48.87670, 02.28249, 
48.87665, 02.28260, 
48.87658, 02.28274, 
48.87672, 02.28290, 
48.87677, 02.28297, 
48.87680, 02.28303, 
48.87681, 02.28309, 
48.87683, 02.28316, 
48.87683, 02.28318, 
48.87685, 02.28323, 
48.87687, 02.28328, 
48.87691, 02.28334, 
48.87693, 02.28339, 
48.87695, 02.28344, 
48.87696, 02.28348, 
48.87707, 02.28344, 
48.87713, 02.28359, 
48.87724, 02.28382, 
48.87717, 02.28408, 
48.87715, 02.28414, 
48.87714, 02.28421, 
48.87713, 02.28426, 
48.87715, 02.28444, 
48.87708, 02.28465, 
48.87705, 02.28473, 
48.87689, 02.28526, 
48.87676, 02.28568, 
48.87644, 02.28666, 
48.87632, 02.28704, 
48.87626, 02.28722, 
48.87620, 02.28744, 
48.87604, 02.28792, 
48.87584, 02.28856, 
48.87580, 02.28868, 
48.87571, 02.28896, 
48.87570, 02.28898, 
48.87570, 02.28899, 
48.87563, 02.28922, 
48.87558, 02.28938, 
48.87556, 02.28944, 
48.87527, 02.29034, 
48.87523, 02.29047, 
48.87506, 02.29100, 
48.87501, 02.29116, 
48.87499, 02.29123, 
48.87502, 02.29146, 
48.87495, 02.29196, 
48.87483, 02.29239, 
48.87465, 02.29293, 
48.87432, 02.29402, 
48.87427, 02.29422, 
48.87411, 02.29508, 
48.87402, 02.29541, 
48.87387, 02.29573, 
48.87377, 02.29594, 
48.87364, 02.29622, 
48.87335, 02.29706, 
48.87318, 02.29755, 
48.87294, 02.29832, 
48.87289, 02.29842, 
48.87285, 02.29849, 
